,Avg_val_loss,Avg_train_loss
183,0.0956,0.0634
184,0.0953,0.0721
185,0.0947,0.0737
186,0.0942,0.0783
187,0.0954,0.0694
188,0.1119,0.1424
189,0.0941,0.0621
190,0.095,0.0584
191,0.0956,0.0544
192,0.0973,0.1236
193,0.0931,0.0795
194,0.094,0.0637
195,0.0933,0.077
196,0.1197,0.1496
197,0.0932,0.0567
198,0.0926,0.079
199,0.1041,0.1323
200,0.0927,0.0724
201,0.0934,0.0686
202,0.0943,0.057
203,0.0945,0.0587
204,0.0939,0.0639
205,0.0954,0.0543
206,0.0953,0.0571
207,0.094,0.0686
208,0.0939,0.0689
209,0.0929,0.0717
210,0.0931,0.0728
211,0.0947,0.0548
212,0.0955,0.117
213,0.0925,0.0921
214,0.101,0.1221
215,0.1183,0.1399
216,0.1289,0.1445
217,0.098,0.1106
218,0.0941,0.0649
219,0.0975,0.1174
220,0.1334,0.1495
221,0.0921,0.0568
222,0.0913,0.0898
223,0.0915,0.0532
224,0.0908,0.0721
225,0.0908,0.0783
226,0.0922,0.0882
227,0.0949,0.1011
228,0.0919,0.0542
229,0.0922,0.0978
230,0.0982,0.1172
231,0.0919,0.0864
232,0.1008,0.1202
233,0.0917,0.0861
234,0.0906,0.0724
235,0.1478,0.1708
236,0.1103,0.1398
237,0.0946,0.1045
238,0.1304,0.146
239,0.1064,0.1278
240,0.0905,0.07
241,0.0902,0.0729
242,0.091,0.0515
243,0.0915,0.052
244,0.0908,0.0603
245,0.0912,0.0659
246,0.0901,0.0734
247,0.0897,0.0793
248,0.0911,0.0567
249,0.0988,0.1297
250,0.0901,0.057
251,0.091,0.0514
252,0.0894,0.0756
253,0.0904,0.0654
254,0.0969,0.1263
255,0.0898,0.0638
256,0.1103,0.1481
257,0.0906,0.1001
258,0.0893,0.0666
259,0.0892,0.0745
260,0.0937,0.1127
261,0.0894,0.0507
262,0.0901,0.0498
263,0.0897,0.0613
264,0.0909,0.0493
265,0.0903,0.1086
266,0.0898,0.058
267,0.0909,0.0505
268,0.0898,0.0659
269,0.1082,0.1479
270,0.0884,0.0808
271,0.0892,0.0555
272,0.0887,0.0853
273,0.089,0.0587
274,0.0887,0.0764
275,0.1175,0.1552
276,0.161,0.1937
277,0.0879,0.066
278,0.0881,0.0767
279,0.0907,0.0985
280,0.0898,0.0886
281,0.0885,0.0788
282,0.0888,0.0634
283,0.0897,0.0912
284,0.0944,0.1106
285,0.0881,0.0755
286,0.0895,0.0513
287,0.0884,0.0701
288,0.089,0.0605
289,0.0902,0.0494
290,0.0883,0.09
291,0.093,0.1137
292,0.1357,0.1553
293,0.0912,0.1035
294,0.0884,0.0591
295,0.0888,0.0578
296,0.0889,0.0925
297,0.0905,0.0997
298,0.0878,0.0737
299,0.094,0.1165
300,0.0879,0.0673
301,0.088,0.0718
302,0.0894,0.0511
303,0.0883,0.0986
304,0.0876,0.0811
305,0.0879,0.0783
306,0.0893,0.0532
307,0.09,0.0503
308,0.0894,0.1104
309,0.0888,0.0518
310,0.088,0.0606
311,0.0883,0.0959
312,0.0879,0.0653
313,0.0883,0.0623
314,0.0922,0.1198
315,0.0873,0.0667
316,0.1346,0.1747
317,0.087,0.0821
318,0.0868,0.0748
319,0.087,0.0594
320,0.1142,0.1586
321,0.0879,0.056
322,0.1006,0.146
323,0.0867,0.0823
324,0.0867,0.0484
325,0.087,0.0982
326,0.0874,0.0495
327,0.0868,0.0631
328,0.0867,0.0808
329,0.1061,0.1459
330,0.0884,0.0938
331,0.0886,0.091
332,0.093,0.1099
333,0.0875,0.0521
334,0.0881,0.0485
335,0.0873,0.106
336,0.0876,0.0504
337,0.0862,0.0807
338,0.0877,0.0502
339,0.0866,0.0662
340,0.087,0.0597
341,0.0873,0.0909
342,0.0892,0.1022
343,0.0878,0.0501
344,0.0863,0.0775
345,0.0877,0.0505
346,0.0883,0.0485
347,0.089,0.0468
348,0.0868,0.0634
349,0.0881,0.0532
350,0.0937,0.1301
351,0.086,0.0635
352,0.0862,0.0662
353,0.0865,0.0626
354,0.087,0.089
355,0.087,0.0467
356,0.0862,0.099
357,0.086,0.0833
358,0.107,0.1452
359,0.086,0.0841
360,0.0865,0.0554
361,0.0876,0.0465
362,0.0857,0.0699
363,0.1007,0.1426
364,0.092,0.123
365,0.0856,0.0684
366,0.0859,0.0611
367,0.0864,0.0557
368,0.0877,0.0471
369,0.0856,0.0958
370,0.0864,0.0566
371,0.0863,0.0616
372,0.0859,0.0788
373,0.0859,0.0711
374,0.0878,0.0989
375,0.1041,0.1375
376,0.0872,0.092
377,0.0865,0.0518
378,0.0855,0.0737
379,0.0858,0.0625
380,0.0868,0.0961
381,0.086,0.0594
382,0.0866,0.0562
383,0.0876,0.0494
384,0.0857,0.094
385,0.0878,0.1057
386,0.0884,0.1049
387,0.0867,0.0506
388,0.0873,0.0519
389,0.0881,0.0461
390,0.0863,0.0572
391,0.0878,0.0459
392,0.0873,0.0524
393,0.1099,0.1951
394,0.0844,0.0637
395,0.0862,0.0969
396,0.0849,0.0633
397,0.0851,0.073
398,0.0852,0.0664
399,0.0853,0.0651
400,0.0856,0.0776
401,0.0863,0.0482
402,0.0858,0.1012
403,0.1048,0.1392
404,0.0854,0.0492
405,0.0853,0.0547
406,0.085,0.0811
407,0.0871,0.0996
408,0.1002,0.133
409,0.0861,0.0875
410,0.085,0.0617
411,0.0863,0.0473
412,0.0847,0.0838
413,0.1025,0.1937
414,0.0842,0.067
415,0.0979,0.1369
416,0.0842,0.0677
417,0.1029,0.145
418,0.1653,0.163
419,0.0841,0.0601
420,0.0848,0.0469
421,0.0847,0.053
422,0.0847,0.054
423,0.0842,0.0654
424,0.0844,0.06
425,0.0846,0.0582
426,0.0852,0.0552
427,0.085,0.0855
428,0.0905,0.1198
429,0.085,0.0486
430,0.0848,0.0996
431,0.0847,0.0455
432,0.0841,0.0893
433,0.0848,0.0453
434,0.0843,0.0671
435,0.0844,0.0654
436,0.0894,0.1248
437,0.0843,0.0586
438,0.0852,0.0502
439,0.0851,0.0542
440,0.0844,0.0818
441,0.0844,0.0676
442,0.0852,0.0525
443,0.0851,0.1017
444,0.0852,0.0937
445,0.0855,0.0905
446,0.0847,0.0694
447,0.0856,0.0493
448,0.0846,0.0686
449,0.0847,0.0763
450,0.0849,0.0576
451,0.0853,0.0917
452,0.0848,0.0455
453,0.0841,0.0705
454,0.0981,0.1418
455,0.0865,0.1092
456,0.0846,0.0495
457,0.0841,0.085
458,0.0848,0.0543
459,0.0854,0.0466
460,0.1031,0.1472
461,0.0838,0.0887
462,0.1348,0.1601
463,0.0835,0.0561
464,0.0838,0.054
465,0.1134,0.1657
466,0.0829,0.0477
467,0.083,0.0654
468,0.0836,0.0739
469,0.0838,0.0732
470,0.084,0.0473
471,0.0844,0.0475
472,0.0848,0.0467
473,0.1086,0.1827
474,0.083,0.0455
475,0.0827,0.0453
476,0.0827,0.0651
477,0.0834,0.0732
478,0.0996,0.1927
479,0.0827,0.0635
480,0.083,0.0538
481,0.0833,0.0713
482,0.0835,0.0508
483,0.0838,0.083
484,0.0835,0.0531
485,0.0847,0.099
486,0.0838,0.0515
487,0.0834,0.0656
488,0.084,0.0808
489,0.0837,0.0578
490,0.0896,0.1293
491,0.0835,0.0761
492,0.0993,0.1439
493,0.0832,0.0636
494,0.0838,0.0791
495,0.0837,0.0728
496,0.0835,0.0594
497,0.0835,0.062
498,0.0837,0.0573
499,0.0842,0.0531
500,0.0844,0.0541
501,0.0845,0.0525
502,0.127,0.1667
503,0.0833,0.0799
504,0.0892,0.1243
505,0.0843,0.0839
506,0.0836,0.0489
507,0.0833,0.0564
508,0.0843,0.097
509,0.0837,0.0504
510,0.0835,0.0874
511,0.0833,0.0696
512,0.0835,0.0668
513,0.0843,0.0474
514,0.0997,0.1507
515,0.0828,0.0757
516,0.1053,0.1812
517,0.0821,0.0514
518,0.0838,0.0962
519,0.115,0.156
520,0.0832,0.0818
521,0.083,0.072
522,0.083,0.0674
523,0.0924,0.1402
524,0.0826,0.0559
525,0.1137,0.1652
526,0.0821,0.0582
527,0.0824,0.0609
528,0.0869,0.128
529,0.0826,0.0515
530,0.0835,0.1001
531,0.083,0.0543
532,0.0833,0.0882
533,0.0828,0.0588
534,0.0836,0.0925
535,0.0834,0.081
536,0.083,0.0643
537,0.0835,0.0544
538,0.0838,0.0948
539,0.0831,0.0561
540,0.0832,0.0606
541,0.0835,0.0549
542,0.0833,0.0615
543,0.0837,0.0852
544,0.0881,0.1208
545,0.0832,0.0736
546,0.0834,0.0458
547,0.1005,0.1836
548,0.0934,0.15
549,0.0824,0.0549
550,0.0828,0.0464
551,0.0824,0.0745
552,0.1168,0.1661
553,0.0841,0.1047
554,0.0823,0.045
555,0.0952,0.1542
556,0.0822,0.0825
557,0.0825,0.0775
558,0.0826,0.0525
559,0.1059,0.1711
560,0.0838,0.1156
561,0.0861,0.12
562,0.0826,0.0725
563,0.0841,0.0976
564,0.0857,0.1076
565,0.1072,0.1489
566,0.0825,0.054
567,0.0825,0.0646
568,0.0829,0.0495
569,0.0827,0.0556
570,0.0826,0.0762
571,0.0828,0.0629
572,0.0876,0.1307
573,0.0825,0.0717
574,0.0846,0.1044
575,0.0845,0.0961
576,0.0869,0.112
577,0.0829,0.0639
578,0.0921,0.141
579,0.1318,0.1812
580,0.0816,0.0569
581,0.082,0.0627
582,0.0828,0.0812
583,0.082,0.0446
584,0.0823,0.0537
585,0.0831,0.1051
586,0.0832,0.0941
587,0.0829,0.0822
588,0.0827,0.0699
589,0.0829,0.0456
590,0.0826,0.0561
591,0.0883,0.1359
592,0.0821,0.0504
593,0.0824,0.0937
594,0.0833,0.1007
595,0.0825,0.0637
596,0.0826,0.0657
597,0.0828,0.0781
598,0.0825,0.0442
599,0.083,0.0499
600,0.0822,0.0765
601,0.0826,0.0803
602,0.0829,0.0464
603,0.0825,0.0637
604,0.0824,0.0722
605,0.0836,0.0974
606,0.0892,0.1271
607,0.0842,0.0969
608,0.0832,0.081
609,0.0845,0.0968
610,0.0845,0.0937
611,0.1109,0.1499
612,0.0819,0.0478
613,0.083,0.1127
614,0.0822,0.0717
615,0.0823,0.0725
616,0.0827,0.0466
617,0.0829,0.0512
618,0.0823,0.0779
619,0.0964,0.1472
620,0.082,0.0694
621,0.0823,0.046
622,0.0821,0.0648
623,0.0954,0.1502
624,0.0819,0.0774
625,0.0819,0.0562
626,0.1013,0.1716
627,0.0809,0.0453
628,0.0812,0.0549
629,0.0816,0.0482
630,0.0853,0.1406
631,0.0813,0.0477
632,0.0818,0.0949
633,0.0817,0.0693
634,0.0817,0.0559
635,0.0819,0.0587
636,0.0821,0.0544
637,0.0824,0.0436
638,0.0824,0.0515
639,0.0828,0.1149
640,0.0819,0.0478
641,0.0822,0.053
642,0.082,0.0601
643,0.0822,0.0869
644,0.0822,0.0738
645,0.0825,0.0766
646,0.0824,0.052
647,0.0863,0.1344
648,0.0818,0.0729
649,0.0825,0.0854
650,0.082,0.0458
651,0.0822,0.0515
652,0.0824,0.0518
653,0.0827,0.045
654,0.0821,0.0595
655,0.0832,0.1162
656,0.1132,0.1576
657,0.0842,0.1196
658,0.0819,0.0646
659,0.0874,0.1361
660,0.0816,0.0612
661,0.0818,0.0486
662,0.0817,0.0915
663,0.0819,0.0473
664,0.0816,0.0784
665,0.0825,0.0981
666,0.0872,0.1276
667,0.0831,0.098
668,0.0821,0.049
669,0.0823,0.0523
670,0.0823,0.056
671,0.082,0.0757
672,0.1057,0.1578
673,0.0807,0.0464
674,0.0814,0.1019
675,0.0814,0.0475
676,0.0815,0.0635
677,0.0818,0.0436
678,0.0819,0.051
679,0.0816,0.067
680,0.097,0.1951
681,0.081,0.0505
682,0.0814,0.0809
683,0.0811,0.0525
684,0.0814,0.0721
685,0.0814,0.0522
686,0.0816,0.0541
687,0.0816,0.0578
688,0.0819,0.0472
689,0.0816,0.0914
690,0.0829,0.1091
691,0.0816,0.0686
692,0.0819,0.0511
693,0.082,0.0996
694,0.0823,0.0959
695,0.0817,0.0443
696,0.082,0.0469
697,0.0889,0.1443
698,0.0933,0.1453
699,0.0812,0.0635
700,0.0815,0.0512
701,0.0814,0.0697
702,0.0817,0.044
703,0.0874,0.1447
704,0.0811,0.0922
705,0.0813,0.0456
706,0.0813,0.0631
707,0.0819,0.1045
708,0.0812,0.0436
709,0.0812,0.0679
710,0.0815,0.0876
711,0.0884,0.1366
712,0.0912,0.1386
713,0.0813,0.0761
714,0.0819,0.0838
715,0.0832,0.1077
716,0.0816,0.0531
717,0.0819,0.0507
718,0.0819,0.0563
719,0.0816,0.0682
720,0.082,0.0482
721,0.0822,0.0504
722,0.0824,0.046
723,0.0826,0.0452
724,0.0821,0.0554
725,0.0818,0.1019
726,0.0815,0.0727
727,0.0819,0.0559
728,0.0872,0.1389
729,0.0808,0.0452
730,0.0888,0.1485
731,0.0804,0.0452
732,0.0808,0.0566
733,0.0811,0.0573
734,0.0812,0.0776
735,0.0814,0.0748
736,0.0814,0.0486
737,0.0836,0.1311
738,0.0809,0.0502
739,0.0812,0.0571
740,0.0813,0.0858
741,0.082,0.0989
742,0.0814,0.0631
743,0.0816,0.0817
744,0.0818,0.079
745,0.0817,0.0568
746,0.0816,0.0659
747,0.0816,0.0695
748,0.0817,0.0612
749,0.0842,0.1253
750,0.0819,0.0878
751,0.0817,0.073
752,0.083,0.1045
753,0.0816,0.0649
754,0.0824,0.1
755,0.0931,0.1431
756,0.0811,0.0638
757,0.0949,0.1577
758,0.0815,0.0968
759,0.0811,0.0651
760,0.0817,0.0851
761,0.0813,0.0645
762,0.0814,0.0459
763,0.0817,0.1152
764,0.081,0.0529
765,0.0812,0.075
766,0.0813,0.0466
767,0.0824,0.1243
768,0.081,0.0794
769,0.0812,0.0463
770,0.0815,0.1148
771,0.081,0.058
772,0.0811,0.0739
773,0.0814,0.0465
774,0.0815,0.0472
775,0.0815,0.0566
776,0.0816,0.0562
777,0.0813,0.0736
778,0.0816,0.0459
779,0.0815,0.114
780,0.081,0.0719
781,0.0835,0.125
782,0.0819,0.1032
783,0.0812,0.064
784,0.0813,0.0635
785,0.0816,0.044
786,0.0809,0.0919
787,0.1061,0.1619
788,0.0803,0.0512
789,0.081,0.1175
790,0.0804,0.0434
791,0.0805,0.0765
792,0.0929,0.1818
793,0.0819,0.1309
794,0.0803,0.0507
795,0.0805,0.0441
796,0.0805,0.0647
797,0.0808,0.0507
798,0.0808,0.0519
799,0.0809,0.057
800,0.0817,0.1167
801,0.081,0.0852
802,0.081,0.0655
803,0.0811,0.0519
804,0.081,0.0701
805,0.0812,0.0561
806,0.0888,0.1506
807,0.0806,0.0673
808,0.0806,0.0487
809,0.0807,0.0739
810,0.081,0.0797
811,0.0818,0.1011
812,0.081,0.0617
813,0.0811,0.0571
814,0.0813,0.0908
815,0.081,0.0439
816,0.081,0.053
817,0.0813,0.0483
818,0.0813,0.0522
819,0.0821,0.1218
820,0.0808,0.0701
821,0.0813,0.0995
822,0.0813,0.0894
823,0.0811,0.0661
824,0.0813,0.0521
825,0.0812,0.0643
826,0.0812,0.0729
827,0.0813,0.0678
828,0.0835,0.1243
829,0.0809,0.0581
830,0.0811,0.0561
831,0.082,0.1165
832,0.0807,0.0443
833,0.0808,0.0438
834,0.0809,0.0474
835,0.081,0.114
836,0.081,0.1027
837,0.0808,0.0821
838,0.0941,0.197
839,0.0805,0.0531
840,0.0805,0.0858
841,0.0818,0.1181
842,0.0804,0.0458
843,0.0805,0.0656
844,0.0806,0.0514
845,0.0807,0.0976
846,0.0806,0.0465
847,0.0826,0.1339
848,0.081,0.1115
849,0.0806,0.0528
850,0.0808,0.0508
851,0.081,0.0441
852,0.0809,0.0559
853,0.087,0.195
854,0.0803,0.0482
855,0.0802,0.0482
856,0.0803,0.0901
857,0.0804,0.059
858,0.0857,0.1519
859,0.0805,0.0956
860,0.0818,0.1189
861,0.0804,0.05
862,0.0805,0.0546
863,0.0871,0.1725
864,0.0799,0.0487
865,0.0803,0.1147
866,0.0803,0.0812
867,0.0804,0.0598
868,0.0806,0.0705
869,0.0806,0.0537
870,0.0833,0.1415
871,0.0804,0.0796
872,0.0874,0.1849
873,0.0802,0.0595
874,0.0801,0.0518
875,0.0804,0.0717
876,0.0828,0.1397
877,0.0822,0.1227
878,0.0803,0.0546
879,0.0804,0.0446
880,0.0803,0.0499
881,0.0804,0.0614
882,0.0805,0.0673
883,0.0822,0.1272
884,0.081,0.0985
885,0.0953,0.1677
886,0.0813,0.1116
887,0.0804,0.0589
888,0.086,0.1551
889,0.0799,0.0485
890,0.08,0.0468
891,0.0802,0.0728
892,0.0804,0.0732
893,0.0816,0.1215
894,0.0812,0.1019
895,0.0817,0.1077
896,0.0806,0.0557
897,0.0808,0.0959
898,0.0805,0.0466
899,0.0804,0.0762
900,0.0806,0.0631
901,0.0808,0.0441
902,0.0807,0.0532
903,0.0808,0.0466
904,0.0809,0.0492
905,0.0808,0.057
906,0.0869,0.1895
907,0.0813,0.1286
908,0.0804,0.0884
909,0.081,0.103
910,0.0803,0.0482
911,0.0803,0.0843
912,0.0804,0.0467
913,0.0806,0.0442
914,0.0805,0.0529
915,0.0804,0.0943
916,0.0804,0.0469
917,0.0807,0.0429
918,0.0806,0.0461
919,0.0807,0.0506
920,0.0849,0.1943
921,0.0802,0.1014
922,0.0801,0.0555
923,0.0802,0.0463
924,0.0807,0.1193
925,0.0909,0.1626
926,0.0799,0.0501
927,0.08,0.0521
928,0.0801,0.0471
929,0.0802,0.0576
930,0.0803,0.0844
931,0.0805,0.0826
932,0.0833,0.1389
933,0.0879,0.1472
934,0.1006,0.1564
935,0.0801,0.0522
936,0.0801,0.0447
937,0.0802,0.0573
938,0.0817,0.1371
939,0.0801,0.0645
940,0.0803,0.0853
941,0.0806,0.0863
942,0.0804,0.0652
943,0.0808,0.0979
944,0.0803,0.0467
945,0.0805,0.111
946,0.0808,0.1086
947,0.0803,0.0585
948,0.0807,0.1054
949,0.0805,0.0829
950,0.0806,0.0792
951,0.0806,0.0533
952,0.0807,0.0558
953,0.0808,0.048
954,0.0806,0.0632
955,0.0806,0.0669
956,0.0808,0.0478
957,0.0806,0.0962
958,0.0805,0.0433
959,0.0802,0.0969
960,0.0804,0.0569
961,0.0806,0.1105
962,0.0803,0.046
963,0.0802,0.0757
964,0.0804,0.0851
965,0.0805,0.0564
966,0.0807,0.0464
967,0.0811,0.1223
968,0.0802,0.0578
969,0.0805,0.1085
970,0.0803,0.0673
971,0.0805,0.0497
972,0.0804,0.0691
973,0.0822,0.1299
974,0.0956,0.1718
975,0.08,0.0681
976,0.0856,0.192
977,0.0801,0.0643
978,0.0836,0.192
979,0.0804,0.0875
980,0.0807,0.1061
981,0.0811,0.1086
982,0.0802,0.0609
983,0.0812,0.1227
984,0.0803,0.0702
985,0.0802,0.0595
986,0.0803,0.0628
987,0.0805,0.0434
988,0.0802,0.0521
989,0.0803,0.105
990,0.0802,0.0574
991,0.0802,0.0822
992,0.0822,0.1346
993,0.08,0.046
994,0.0843,0.1693
995,0.0797,0.0482
996,0.0798,0.0756
997,0.0801,0.1033
998,0.08,0.0716
999,0.0801,0.0759
